CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date,date
90498,Nasdaq:SFNC,25.59,2021-01-01
90896,NYSE:SKY,32.82,2021-01-01
91142,NYSE:AOS,56.83,2021-01-01
91419,NYSE:SJM,116.85,2021-01-01
91440,NYSE:SNA,175.87,2021-01-01
91576,NYSE:KEY,18.49,2021-01-01
91767,NYSE:SON,61.59,2021-01-01
91847,NYSE:SOR,41,2021-01-01
91928,NYSE:SJIJ,0,2021-01-01
92103,,0,2021-01-01
92122,NYSE:SO,61.14,2021-01-01
92230,NYSE:TFC,51.49,2021-01-01
92380,NYSE:LUV,47.33,2021-01-01
92472,NASDAQ:SWWC,0,2021-01-01
92679,NYSE:SPA,0,2021-01-01
93284,NYSE:ICB,0,2021-01-01
93314,AMEX:VNRX,0,2021-01-01
93389,NYSE:SMP,42.62,2021-01-01
93410,NYSE:CVX,90.22,2021-01-01
93451,NYSE:STL,0,2021-01-01
93556,NYSE:SWK,177.42,2021-01-01
93676,NYSE:SCX,0,2021-01-01
93751,NYSE:STT,77.73,2021-01-01
93859,NYSE:BH,111.5,2021-01-01
94049,NYSE:SCL,131.06,2021-01-01
94344,NYSE:STC,51.02,2021-01-01
94845,NYSE:LEVI,20.32,2021-01-01
95029,NYSE:RGR,76.43,2021-01-01
95047,,0,2021-01-01
95052,NASDAQ:RDEN,0,2021-01-01
95521,NYSE:SVU,0,2021-01-01
95552,NYSE:SUP,5.31,2021-01-01
95574,Nasdaq:SGC,25.65,2021-01-01
95585,,0,2021-01-01
95953,Nasdaq:ACNT,8.73,2021-01-01
96021,NYSE:SYY,75.59,2021-01-01
96223,NYSE:JEF,25,2021-01-01
96289,NYSE:RSH,0,2021-01-01
96536,Nasdaq:TAYD,10.06,2021-01-01
96638,NASDAQ:ADVNQ,0,2021-01-01
96763,NYSE:PULS,0,2021-01-01
96793,AMEX:SSY,0,2021-01-01
96831,NASDAQ:TECUA,0,2021-01-01
96869,NYSE:TRC,15.17,2021-01-01
96885,OTC:TIKK,0,2021-01-01
96943,NYSE:TFX,403.78,2021-01-01
96966,NYSE:TDJ,0,2021-01-01
97134,NYSE:TNC,73.39,2021-01-01
97196,NASDAQ:AMIC,0,2021-01-01
97210,Nasdaq:TER,129.91,2021-01-01
97216,NYSE:TEX,38.5,2021-01-01
97472,NYSE:TXI,0,2021-01-01
